site_id,event_id,sample_date,year,month,dist_nearest_discharge_km,site_type,n_organic_detects,total_organic_conc,ahr_fold_induction,ahr_significant,ahr_qc_flag
SITE-01,17,2014-05-15,2014,5,1.5,near_field,7,13.817324849501508,1.0656340655950993,FALSE,Pass
SITE-01,18,2014-06-15,2014,6,1.5,near_field,14,22.501950296400754,1.4912456700431278,FALSE,Pass
SITE-01,19,2014-07-15,2014,7,1.5,near_field,13,32.92693698067576,2.474674047378161,TRUE,Pass
SITE-01,20,2014-08-15,2014,8,1.5,near_field,9,12.274558393438422,1.165980097623574,FALSE,Flag-matrix
SITE-01,21,2014-09-15,2014,9,1.5,near_field,10,23.373158253009482,1.7135507259281972,TRUE,Flag-matrix
SITE-01,22,2014-10-15,2014,10,1.5,near_field,9,9.693414691219013,2.2076469841763884,TRUE,Pass
SITE-01,23,2014-11-15,2014,11,1.5,near_field,15,23.103581770607132,2.117254677015351,TRUE,Pass
SITE-01,24,2014-12-15,2014,12,1.5,near_field,13,14.078030315862154,0.7535925166519843,FALSE,Pass
SITE-01,25,2015-01-15,2015,1,1.5,near_field,12,12.418188534731984,2.0466521430453692,TRUE,Flag-matrix
SITE-01,26,2015-02-15,2015,2,1.5,near_field,11,13.961300940147266,1.0072143501602915,FALSE,Pass
SITE-01,27,2015-03-15,2015,3,1.5,near_field,12,22.154017405594566,1.7800639638430096,TRUE,Pass
SITE-01,28,2015-04-15,2015,4,1.5,near_field,12,16.32674230159432,1.7317560486607926,TRUE,Pass
SITE-01,29,2015-05-15,2015,5,1.5,near_field,12,20.830911549233743,1.3205457040115929,FALSE,Pass
SITE-01,30,2015-06-15,2015,6,1.5,near_field,15,15.833958864575324,1.7722321585616267,TRUE,Pass
SITE-01,31,2015-07-15,2015,7,1.5,near_field,13,24.208543886390895,3.5928480779890215,TRUE,Pass
SITE-01,32,2015-08-15,2015,8,1.5,near_field,11,19.359480508117695,0.9135313049330882,FALSE,Flag-matrix
SITE-01,33,2015-09-15,2015,9,1.5,near_field,11,14.209691601457235,0.5,FALSE,Pass
SITE-01,34,2015-10-15,2015,10,1.5,near_field,12,16.471585348779342,2.5442797649104607,TRUE,Pass
SITE-01,35,2015-11-15,2015,11,1.5,near_field,10,11.650222951531717,2.123839187385374,TRUE,Pass
SITE-01,36,2015-12-15,2015,12,1.5,near_field,14,12.176758213415376,2.1566906376308035,TRUE,Pass
SITE-01,37,2016-01-15,2016,1,1.5,near_field,3,117.66488787083307,2.75505181872483,TRUE,Pass
SITE-01,38,2016-02-15,2016,2,1.5,near_field,3,49.75339922580255,1.4398694992887981,FALSE,Pass
SITE-01,39,2016-03-15,2016,3,1.5,near_field,1,104.72907448022154,1.3864080279503512,FALSE,Pass
SITE-01,40,2016-04-15,2016,4,1.5,near_field,1,3.295357092281867,1.2885420922969586,FALSE,Pass
SITE-01,41,2016-05-15,2016,5,1.5,near_field,3,67.23954852102736,3.1727327682931277,TRUE,Pass
SITE-01,42,2016-06-15,2016,6,1.5,near_field,3,173.49240881763902,1.4752248968584971,FALSE,Pass
SITE-01,43,2016-07-15,2016,7,1.5,near_field,1,73.33119535117095,3.9098916230108793,TRUE,Pass
SITE-01,44,2016-08-15,2016,8,1.5,near_field,3,308.72308130874575,1.4557309222420007,FALSE,Pass
SITE-01,45,2016-09-15,2016,9,1.5,near_field,3,68.91028845040285,1.574591413524606,TRUE,Pass
SITE-01,46,2016-10-15,2016,10,1.5,near_field,2,115.01510135858834,1.9398102045276837,TRUE,Flag-matrix
SITE-01,47,2016-11-15,2016,11,1.5,near_field,2,89.820190490577545,0.594303546763796,FALSE,Pass
SITE-01,48,2016-12-15,2016,12,1.5,near_field,3,81.1811786453997,1.665105510272649,TRUE,Pass
SITE-01,49,2017-01-15,2017,1,1.5,near_field,12,16.07733160901201,1.697136190924856,TRUE,Flag-matrix
SITE-01,50,2017-02-15,2017,2,1.5,near_field,13,130.3412827688376,1.7036480537048133,TRUE,Pass
SITE-01,51,2017-03-15,2017,3,1.5,near_field,12,39.721770125541575,2.071649493642142,TRUE,Flag-matrix
SITE-01,52,2017-04-15,2017,4,1.5,near_field,14,270.7882673673408,2.8386830573295274,TRUE,Pass
SITE-01,53,2017-05-15,2017,5,1.5,near_field,10,165.13258169911958,0.5,FALSE,Pass
SITE-01,54,2017-06-15,2017,6,1.5,near_field,16,36.55425728547552,3.0539733607868076,TRUE,Pass
SITE-01,55,2017-07-15,2017,7,1.5,near_field,15,106.15594176326306,0.6083570810618695,FALSE,Pass
SITE-01,56,2017-08-15,2017,8,1.5,near_field,16,372.80315514802294,2.511207966813045,TRUE,Pass
SITE-01,57,2017-09-15,2017,9,1.5,near_field,16,160.3764181245111,1.8125034752680307,TRUE,Pass
SITE-01,58,2017-10-15,2017,10,1.5,near_field,18,193.24825323827991,2.695964720329881,TRUE,Pass
SITE-01,59,2017-11-15,2017,11,1.5,near_field,18,96.61837929213729,2.418316260964033,TRUE,Pass
SITE-01,60,2017-12-15,2017,12,1.5,near_field,15,149.16239196681417,1.4029296455548956,FALSE,Pass
SITE-01,61,2018-01-15,2018,1,1.5,near_field,16,252.3124452834305,1.1853831536881991,FALSE,Flag-matrix
SITE-01,62,2018-02-15,2018,2,1.5,near_field,22,116.1762643877093,3.264420234623168,TRUE,Pass
SITE-01,63,2018-03-15,2018,3,1.5,near_field,23,274.12457125322567,2.726520168167846,TRUE,Pass
SITE-01,64,2018-04-15,2018,4,1.5,near_field,20,356.1731383299184,3.5595901432569286,TRUE,Pass
SITE-01,65,2018-05-15,2018,5,1.5,near_field,16,149.90504611650184,3.269651371935878,TRUE,Pass
SITE-01,66,2018-06-15,2018,6,1.5,near_field,22,116.93942952018276,1.6260886460413957,TRUE,Pass
SITE-01,67,2018-07-15,2018,7,1.5,near_field,21,107.35354073612869,0.9546408204808432,FALSE,Pass
SITE-01,68,2018-08-15,2018,8,1.5,near_field,17,179.29996549376582,0.7074430347647145,FALSE,Flag-matrix
SITE-01,69,2018-09-15,2018,9,1.5,near_field,22,178.02950630846382,1.0493865345901867,FALSE,Pass
SITE-01,70,2018-10-15,2018,10,1.5,near_field,21,204.10293776613645,2.172251617035944,TRUE,Pass
SITE-01,71,2018-11-15,2018,11,1.5,near_field,24,143.9982306889291,2.621058623046112,TRUE,Pass
SITE-01,72,2018-12-15,2018,12,1.5,near_field,19,206.88025222902726,3.0165661071972902,TRUE,Pass
SITE-01,73,2019-01-15,2019,1,1.5,near_field,18,76.65276241892306,1.1227247934796378,FALSE,Pass
SITE-01,74,2019-02-15,2019,2,1.5,near_field,20,478.6584957624475,1.5149692491755817,TRUE,Pass
SITE-01,75,2019-03-15,2019,3,1.5,near_field,21,265.68931170682504,3.0957077527480616,TRUE,Flag-matrix
SITE-01,76,2019-04-15,2019,4,1.5,near_field,19,153.32155015474777,1.047214710905259,FALSE,Pass
SITE-01,77,2019-05-15,2019,5,1.5,near_field,18,214.11288634821932,1.7101835509141399,TRUE,Pass
SITE-01,78,2019-06-15,2019,6,1.5,near_field,17,243.42951096370476,2.7131830612268133,TRUE,Pass
SITE-01,79,2019-07-15,2019,7,1.5,near_field,20,254.04601964475452,3.2404485053084464,TRUE,Pass
SITE-01,80,2019-08-15,2019,8,1.5,near_field,19,198.7768254193167,2.9939786089764864,TRUE,Pass
SITE-01,81,2019-09-15,2019,9,1.5,near_field,17,156.51962795277498,2.5888177696705847,TRUE,Pass
SITE-01,82,2019-10-15,2019,10,1.5,near_field,23,148.86071400000608,2.567717774948014,TRUE,Pass
SITE-01,83,2019-11-15,2019,11,1.5,near_field,22,76.62499430965788,1.9662939385055935,TRUE,Flag-matrix
SITE-01,84,2019-12-15,2019,12,1.5,near_field,17,97.38956355517125,1.8889633104510808,TRUE,Flag-matrix
SITE-01,85,2020-01-15,2020,1,1.5,near_field,14,112.24362122634471,1.5146734577981955,TRUE,Pass
SITE-01,86,2020-02-15,2020,2,1.5,near_field,23,241.55164916175124,2.7143090128527967,TRUE,Pass
SITE-01,87,2020-03-15,2020,3,1.5,near_field,20,59.11113741487464,3.428727917341482,TRUE,Pass
SITE-01,88,2020-04-15,2020,4,1.5,near_field,20,103.40554619388898,1.8006186379701572,TRUE,Pass
SITE-01,89,2020-05-15,2020,5,1.5,near_field,23,320.9168052377861,3.812992454018519,TRUE,Flag-matrix
SITE-01,90,2020-06-15,2020,6,1.5,near_field,19,230.27224490534738,1.6241816591189666,TRUE,Pass
SITE-01,91,2020-07-15,2020,7,1.5,near_field,19,175.66343489912182,1.190277861190241,FALSE,Pass
SITE-01,92,2020-08-15,2020,8,1.5,near_field,23,223.77391604025902,2.1811672923860894,TRUE,Pass
SITE-01,93,2020-09-15,2020,9,1.5,near_field,17,204.64312758975333,1.9425095949532882,TRUE,Pass
SITE-01,94,2020-10-15,2020,10,1.5,near_field,20,175.26500138304942,2.397753886660444,TRUE,Flag-matrix
SITE-01,95,2020-11-15,2020,11,1.5,near_field,18,64.9423357148209,3.9004156829945567,TRUE,Pass
SITE-01,96,2020-12-15,2020,12,1.5,near_field,24,194.8346561979304,3.420241963846181,TRUE,Pass
SITE-01,97,2021-01-15,2021,1,1.5,near_field,23,79.15683786247801,2.265905352533771,TRUE,Flag-matrix
SITE-01,98,2021-02-15,2021,2,1.5,near_field,21,129.86881661291358,2.614570213099064,TRUE,Pass
SITE-01,99,2021-03-15,2021,3,1.5,near_field,19,87.51333237839788,2.1550401798308396,TRUE,Pass
SITE-01,100,2021-04-15,2021,4,1.5,near_field,24,121.63578914016874,2.3195659159169293,TRUE,Pass
SITE-01,101,2021-05-15,2021,5,1.5,near_field,15,58.857345063627584,2.9855366197845843,TRUE,Pass
SITE-01,102,2021-06-15,2021,6,1.5,near_field,27,72.21259449580427,1.889475562475937,TRUE,Pass
SITE-01,103,2021-07-15,2021,7,1.5,near_field,17,85.2795944002336,2.5581749421720996,TRUE,Pass
SITE-01,104,2021-08-15,2021,8,1.5,near_field,25,81.17322924989982,0.723994643726426,FALSE,Pass
SITE-01,105,2021-09-15,2021,9,1.5,near_field,19,51.923081543174874,1.233165811312611,FALSE,Pass
SITE-01,106,2021-10-15,2021,10,1.5,near_field,18,37.57357822767997,1.2376711338569186,FALSE,Pass
SITE-01,107,2021-11-15,2021,11,1.5,near_field,22,65.55846269303255,2.015112401195713,TRUE,Pass
SITE-01,108,2021-12-15,2021,12,1.5,near_field,22,79.12838529206651,0.6227056384676732,FALSE,Flag-matrix
SITE-01,109,2022-01-15,2022,1,1.5,near_field,19,323.6557068124438,2.4200376138790856,TRUE,Flag-matrix
SITE-01,110,2022-02-15,2022,2,1.5,near_field,18,169.2674169675792,3.5722208247672027,TRUE,Pass
SITE-01,111,2022-03-15,2022,3,1.5,near_field,17,304.4116221327445,3.2253103550226703,TRUE,Pass
SITE-01,112,2022-04-15,2022,4,1.5,near_field,22,298.3213581520734,0.8603033900944108,FALSE,Pass
SITE-01,113,2022-05-15,2022,5,1.5,near_field,23,292.46436840275754,3.087658627323688,TRUE,Flag-matrix
SITE-01,114,2022-06-15,2022,6,1.5,near_field,18,207.08288345284336,1.5997797395828273,TRUE,Pass
SITE-01,115,2022-07-15,2022,7,1.5,near_field,18,165.73050304366026,1.9612245987069636,TRUE,Pass
SITE-01,116,2022-08-15,2022,8,1.5,near_field,19,274.3903100781749,2.1003966188453513,TRUE,Flag-matrix
SITE-01,117,2022-09-15,2022,9,1.5,near_field,18,251.3535428484378,2.4681345532694046,TRUE,Pass
SITE-01,118,2022-10-15,2022,10,1.5,near_field,21,109.9487003898909,2.358193622810762,TRUE,Pass
SITE-01,119,2022-11-15,2022,11,1.5,near_field,25,249.16620499219104,1.9249678376294157,TRUE,Pass
SITE-01,120,2022-12-15,2022,12,1.5,near_field,23,221.0294255587688,2.476809669787932,TRUE,Pass
SITE-01,121,2023-01-15,2023,1,1.5,near_field,18,162.62026490592288,2.537822127401246,TRUE,Pass
SITE-01,122,2023-02-15,2023,2,1.5,near_field,17,296.17834653303385,1.5246709705406642,TRUE,Pass
SITE-01,123,2023-03-15,2023,3,1.5,near_field,16,307.5571646854966,2.4886425573251403,TRUE,Pass
SITE-01,124,2023-04-15,2023,4,1.5,near_field,19,240.1687828600698,3.436314362203466,TRUE,Pass
SITE-01,125,2023-05-15,2023,5,1.5,near_field,27,216.9345668750847,1.9348304949104644,TRUE,Pass
SITE-01,126,2023-06-15,2023,6,1.5,near_field,20,229.2015577256913,3.69321220056268,TRUE,Pass
SITE-01,127,2023-07-15,2023,7,1.5,near_field,21,384.14595724712086,2.428748004731843,TRUE,Pass
SITE-01,128,2023-08-15,2023,8,1.5,near_field,20,291.28451858234837,1.4864890496556522,FALSE,Pass
SITE-01,129,2023-09-15,2023,9,1.5,near_field,21,204.72836472222355,3.640447013627858,TRUE,Flag-matrix
SITE-01,130,2023-10-15,2023,10,1.5,near_field,18,100.25850995581999,0.5853764702938813,FALSE,Pass
SITE-01,131,2023-11-15,2023,11,1.5,near_field,21,125.16898170226706,1.9730907880876534,TRUE,Pass
SITE-01,132,2023-12-15,2023,12,1.5,near_field,16,103.60034833520866,2.498111769139278,TRUE,Pass
SITE-01,133,2024-01-15,2024,1,1.5,near_field,14,190.54635377211707,2.0318382160277544,TRUE,Pass
SITE-01,134,2024-02-15,2024,2,1.5,near_field,21,113.93839729953571,2.4670184456888564,TRUE,Pass
SITE-01,135,2024-03-15,2024,3,1.5,near_field,17,110.33161297605868,3.3134009790464356,TRUE,Flag-matrix
SITE-01,136,2024-04-15,2024,4,1.5,near_field,18,61.95531142276599,3.005276066107678,TRUE,Pass
SITE-01,137,2024-05-15,2024,5,1.5,near_field,21,245.55563739943608,0.9003295589419031,FALSE,Pass
SITE-01,138,2024-06-15,2024,6,1.5,near_field,14,184.5494331016178,4.534871899017511,TRUE,Pass
SITE-01,139,2024-07-15,2024,7,1.5,near_field,25,150.9535535355266,3.2864664424103345,TRUE,Pass
SITE-01,140,2024-08-15,2024,8,1.5,near_field,25,251.30807836561797,1.5652423769473471,TRUE,Pass
SITE-01,141,2024-09-15,2024,9,1.5,near_field,17,181.7971011584025,3.2125009043540116,TRUE,Pass
SITE-01,142,2024-10-15,2024,10,1.5,near_field,26,307.47258933822263,3.3642641941171734,TRUE,Pass
SITE-01,143,2024-11-15,2024,11,1.5,near_field,22,198.396271295062,2.2731363649357186,TRUE,Pass
SITE-01,144,2024-12-15,2024,12,1.5,near_field,23,99.86265272890262,3.134949207365284,TRUE,Pass
SITE-02,1,2013-01-15,2013,1,1,near_field,11,20.138257858680742,1.9976345267921518,TRUE,Pass
SITE-02,2,2013-02-15,2013,2,1,near_field,11,13.051678353148622,1.8439220081583625,TRUE,Pass
SITE-02,3,2013-03-15,2013,3,1,near_field,13,30.89130954619479,2.5518347119648968,TRUE,Pass
SITE-02,4,2013-04-15,2013,4,1,near_field,13,31.425225279703255,1.6168733491535916,TRUE,Pass
SITE-02,5,2013-05-15,2013,5,1,near_field,12,22.866956301236904,2.723971575283913,TRUE,Pass
SITE-02,6,2013-06-15,2013,6,1,near_field,10,29.81737925140111,1.6487944095022893,TRUE,Pass
SITE-02,7,2013-07-15,2013,7,1,near_field,17,30.947619788802438,2.9771016587153643,TRUE,Pass
SITE-02,8,2013-08-15,2013,8,1,near_field,10,13.280963729705835,1.9378495266398899,TRUE,Pass
SITE-02,9,2013-09-15,2013,9,1,near_field,14,17.66823617425465,0.9754667838517039,FALSE,Pass
SITE-02,10,2013-10-15,2013,10,1,near_field,12,10.308289141800016,3.0944341609955766,TRUE,Pass
SITE-02,11,2013-11-15,2013,11,1,near_field,14,14.419609998504836,2.621103689009769,TRUE,Pass
SITE-02,12,2013-12-15,2013,12,1,near_field,11,19.76931113848535,0.9754667838517039,FALSE,Pass
SITE-02,13,2014-01-15,2014,1,1,near_field,14,19.495290274072897,2.3081435804703605,TRUE,Pass
SITE-02,14,2014-02-15,2014,2,1,near_field,10,18.146088018141814,2.014545357586159,TRUE,Pass
SITE-02,15,2014-03-15,2014,3,1,near_field,11,18.867530520924944,1.0632652297285552,FALSE,Pass
SITE-02,16,2014-04-15,2014,4,1,near_field,11,24.357810890429864,2.8196331121082956,TRUE,Pass
SITE-02,17,2014-05-15,2014,5,1,near_field,11,22.02523091184017,3.1278328361365544,TRUE,Pass
SITE-02,18,2014-06-15,2014,6,1,near_field,8,16.44391560006334,2.3681908781625527,TRUE,Pass
SITE-02,19,2014-07-15,2014,7,1,near_field,10,24.540604084245388,3.154546692205616,TRUE,Pass
SITE-02,20,2014-08-15,2014,8,1,near_field,16,31.75252825388935,1.6738953536990693,TRUE,Pass
SITE-02,21,2014-09-15,2014,9,1,near_field,12,26.425290995758694,2.21466931180192,TRUE,Flag-matrix
SITE-02,22,2014-10-15,2014,10,1,near_field,12,14.195990414051895,2.5557046092513827,TRUE,Pass
SITE-02,23,2014-11-15,2014,11,1,near_field,10,22.058601649341647,3.5981737231891917,TRUE,Pass
SITE-02,24,2014-12-15,2014,12,1,near_field,8,11.09454985646955,1.5380629930025782,TRUE,Flag-matrix
SITE-02,25,2015-01-15,2015,1,1,near_field,11,15.35147555513992,0.9754667838517039,FALSE,Pass
SITE-02,26,2015-02-15,2015,2,1,near_field,10,15.092573576786556,2.032059462337063,TRUE,Flag-matrix
SITE-02,27,2015-03-15,2015,3,1,near_field,10,12.433101990355164,1.8972739372935001,TRUE,Pass
SITE-02,28,2015-04-15,2015,4,1,near_field,13,31.897176574526057,1.1785434308662852,FALSE,Flag-matrix
SITE-02,29,2015-05-15,2015,5,1,near_field,10,18.699091953656264,0.9754667838517039,FALSE,Flag-matrix
SITE-02,30,2015-06-15,2015,6,1,near_field,13,22.175995131802136,4.289584313025046,TRUE,Flag-matrix
SITE-02,31,2015-07-15,2015,7,1,near_field,11,18.8383180401601,2.7630845078866653,TRUE,Pass
SITE-02,32,2015-08-15,2015,8,1,near_field,11,17.893776017252225,1.664130551957195,TRUE,Pass
SITE-02,33,2015-09-15,2015,9,1,near_field,16,29.235671426499238,1.5312437010943165,TRUE,Pass
SITE-02,34,2015-10-15,2015,10,1,near_field,14,18.948608487029894,1.9184402881944638,TRUE,Flag-matrix
SITE-02,35,2015-11-15,2015,11,1,near_field,10,19.238677709238114,4.123405466103768,TRUE,Pass
SITE-02,36,2015-12-15,2015,12,1,near_field,10,7.4132253362234595,2.1712608292229474,TRUE,Pass
SITE-02,37,2016-01-15,2016,1,1,near_field,19,54.53882228274002,2.9089036655930682,TRUE,Flag-matrix
SITE-02,38,2016-02-15,2016,2,1,near_field,15,59.25722490281662,1.511203111446563,TRUE,Pass
SITE-02,39,2016-03-15,2016,3,1,near_field,18,61.02750197404016,2.4116763211408525,TRUE,Pass
SITE-02,40,2016-04-15,2016,4,1,near_field,18,46.11071635773709,0.9754667838517039,FALSE,Pass
SITE-02,41,2016-05-15,2016,5,1,near_field,17,74.05022608522633,2.9862437693019315,TRUE,Flag-matrix
SITE-02,42,2016-06-15,2016,6,1,near_field,18,92.99251739108607,3.4428772467343127,TRUE,Pass
SITE-02,43,2016-07-15,2016,7,1,near_field,20,112.57964259349532,1.89905151633081,TRUE,Pass
SITE-02,44,2016-08-15,2016,8,1,near_field,16,48.01978661177783,3.0063269964199733,TRUE,Pass
SITE-02,45,2016-09-15,2016,9,1,near_field,14,26.543818055010313,3.4885919453618426,TRUE,Pass
SITE-02,46,2016-10-15,2016,10,1,near_field,17,61.03880918690803,3.4212269905209514,TRUE,Pass
SITE-02,47,2016-11-15,2016,11,1,near_field,22,46.67884146585821,3.249657774667403,TRUE,Flag-matrix
SITE-02,48,2016-12-15,2016,12,1,near_field,18,40.94650281174628,0.9754667838517039,FALSE,Pass
SITE-02,49,2017-01-15,2017,1,1,near_field,11,14.714485594238315,1.5245085587358396,TRUE,Pass
SITE-02,50,2017-02-15,2017,2,1,near_field,10,13.416217457939196,2.907136327534466,TRUE,Pass
SITE-02,51,2017-03-15,2017,3,1,near_field,12,13.75558860917996,2.7093472293047376,TRUE,Pass
SITE-02,52,2017-04-15,2017,4,1,near_field,12,38.38698092520457,2.6089849253967996,TRUE,Pass
SITE-02,53,2017-05-15,2017,5,1,near_field,11,32.342846949088255,1.913509551380079,TRUE,Pass
SITE-02,54,2017-06-15,2017,6,1,near_field,17,34.2219650607387,1.3055323179254532,FALSE,Pass
SITE-02,55,2017-07-15,2017,7,1,near_field,11,20.554445546078583,3.097985271378075,TRUE,Flag-matrix
SITE-02,56,2017-08-15,2017,8,1,near_field,9,10.658862137396868,1.1228136141305056,FALSE,Pass
SITE-02,57,2017-09-15,2017,9,1,near_field,17,22.785717748339643,1.273457061095536,FALSE,Pass
SITE-02,58,2017-10-15,2017,10,1,near_field,11,11.632911956210943,1.6189714194956784,TRUE,Flag-matrix
SITE-02,59,2017-11-15,2017,11,1,near_field,8,12.02164780811226,0.9754667838517039,FALSE,Flag-matrix
SITE-02,60,2017-12-15,2017,12,1,near_field,13,18.485484192844712,1.7427303720984315,TRUE,Pass
SITE-02,61,2018-01-15,2018,1,1,near_field,25,206.55126313194305,2.5385207832399534,TRUE,Pass
SITE-02,62,2018-02-15,2018,2,1,near_field,24,446.05199773365166,1.563110710336759,TRUE,Pass
SITE-02,63,2018-03-15,2018,3,1,near_field,19,72.29888939028204,4.481449519084894,TRUE,Pass
SITE-02,64,2018-04-15,2018,4,1,near_field,18,169.64008643331758,3.2971853888332454,TRUE,Pass
SITE-02,65,2018-05-15,2018,5,1,near_field,18,79.07163752185753,1.3280115749486436,FALSE,Pass
SITE-02,66,2018-06-15,2018,6,1,near_field,27,343.7048282767339,3.4016913806996945,TRUE,Pass
SITE-02,67,2018-07-15,2018,7,1,near_field,22,282.63843886576603,2.469446760638606,TRUE,Pass
SITE-02,68,2018-08-15,2018,8,1,near_field,22,217.40943800022976,1.7029719778329488,TRUE,Flag-matrix
SITE-02,69,2018-09-15,2018,9,1,near_field,19,366.81105438956416,2.7496537969484027,TRUE,Flag-matrix
SITE-02,70,2018-10-15,2018,10,1,near_field,23,411.8977224554708,2.895594778693054,TRUE,Pass
SITE-02,71,2018-11-15,2018,11,1,near_field,24,247.63934064795316,2.7730257758395793,TRUE,Pass
SITE-02,72,2018-12-15,2018,12,1,near_field,17,145.59508476666508,1.8718629405090412,TRUE,Pass
SITE-02,73,2019-01-15,2019,1,1,near_field,24,78.89791649525549,2.3857535938466232,TRUE,Pass
SITE-02,74,2019-02-15,2019,2,1,near_field,22,94.29106856225512,2.815442634774562,TRUE,Pass
SITE-02,75,2019-03-15,2019,3,1,near_field,20,68.17086286517795,2.2800127825742647,TRUE,Pass
SITE-02,76,2019-04-15,2019,4,1,near_field,20,85.62554926459903,2.524983287274071,TRUE,Flag-matrix
SITE-02,77,2019-05-15,2019,5,1,near_field,17,140.31950918162426,3.4002911271680514,TRUE,Pass
SITE-02,78,2019-06-15,2019,6,1,near_field,14,88.58312299899221,2.9014461330783337,TRUE,Pass
SITE-02,79,2019-07-15,2019,7,1,near_field,20,75.80559383739823,3.478373647191165,TRUE,Pass
SITE-02,80,2019-08-15,2019,8,1,near_field,21,59.09190179747175,1.2357916853459618,FALSE,Flag-matrix
SITE-02,81,2019-09-15,2019,9,1,near_field,20,76.04412640715424,2.3050271167762677,TRUE,Flag-matrix
SITE-02,82,2019-10-15,2019,10,1,near_field,17,75.27090413553469,1.8396743962254642,TRUE,Flag-matrix
SITE-02,83,2019-11-15,2019,11,1,near_field,17,81.15419416401258,2.9852530524367826,TRUE,Pass
SITE-02,84,2019-12-15,2019,12,1,near_field,21,61.604027292521074,1.66569628019766,TRUE,Pass
SITE-02,85,2020-01-15,2020,1,1,near_field,14,166.53522609190665,3.5222179272222394,TRUE,Pass
SITE-02,86,2020-02-15,2020,2,1,near_field,16,97.69460301564517,2.831956132082051,TRUE,Pass
SITE-02,87,2020-03-15,2020,3,1,near_field,20,294.6878804513442,1.821118896612834,TRUE,Flag-matrix
SITE-02,88,2020-04-15,2020,4,1,near_field,17,372.4934465716976,3.6001566481752088,TRUE,Pass
SITE-02,89,2020-05-15,2020,5,1,near_field,19,263.57549285228504,3.3107707695564716,TRUE,Pass
SITE-02,90,2020-06-15,2020,6,1,near_field,20,213.33692696636896,2.1053327887354873,TRUE,Pass
SITE-02,91,2020-07-15,2020,7,1,near_field,16,245.60311985178785,3.300101046027814,TRUE,Flag-matrix
SITE-02,92,2020-08-15,2020,8,1,near_field,15,59.089070951759226,2.007156023520436,TRUE,Pass
SITE-02,93,2020-09-15,2020,9,1,near_field,17,206.6628979486916,2.463640160921773,TRUE,Pass
SITE-02,94,2020-10-15,2020,10,1,near_field,17,325.73184108809545,2.6960201858802035,TRUE,Flag-matrix
SITE-02,95,2020-11-15,2020,11,1,near_field,13,114.0682782556584,3.883487014753686,TRUE,Pass
SITE-02,96,2020-12-15,2020,12,1,near_field,18,241.1821374781779,2.821383394560888,TRUE,Pass
SITE-02,97,2021-01-15,2021,1,1,near_field,24,212.38369437754608,2.151292957355203,TRUE,Pass
SITE-02,98,2021-02-15,2021,2,1,near_field,22,146.076562337878,2.9616781470371585,TRUE,Pass
SITE-02,99,2021-03-15,2021,3,1,near_field,23,247.58100940290126,3.1164004610512337,TRUE,Pass
SITE-02,100,2021-04-15,2021,4,1,near_field,21,306.64348392667097,2.774608645249218,TRUE,Pass
SITE-02,101,2021-05-15,2021,5,1,near_field,25,341.40680492812226,1.9455332026494678,TRUE,Flag-matrix
SITE-02,102,2021-06-15,2021,6,1,near_field,21,189.53335025305935,3.483296521899957,TRUE,Pass
SITE-02,103,2021-07-15,2021,7,1,near_field,22,244.54104752506922,0.9922904091818974,FALSE,Pass
SITE-02,104,2021-08-15,2021,8,1,near_field,18,313.4381138508219,3.228057950202946,TRUE,Pass
SITE-02,105,2021-09-15,2021,9,1,near_field,23,132.31312726128422,2.691230794405473,TRUE,Pass
